EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOEK VAN HOLLAND, NETHERLANDS (STAID: 602)
Blended and updated with sources:13634 906330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   602, 13634,19710101,   41,    0
   602, 13634,19710102,   46,    0
   602, 13634,19710103,   31,    0
   602, 13634,19710104,   36,    0
   602, 13634,19710105,   41,    0
   602, 13634,19710106,   51,    0
   602, 13634,19710107,   87,    0
   602, 13634,19710108,   67,    0
   602, 13634,19710109,   57,    0
   602, 13634,19710110,   36,    0
   602, 13634,19710111,   57,    0
   602, 13634,19710112,   36,    0
   602, 13634,19710113,   31,    0
   602, 13634,19710114,   36,    0
   602, 13634,19710115,   41,    0
   602, 13634,19710116,   57,    0
   602, 13634,19710117,   46,    0
   602, 13634,19710118,   57,    0
   602, 13634,19710119,  103,    0
   602, 13634,19710120,   72,    0
   602, 13634,19710121,   72,    0
   602, 13634,19710122,   62,    0
   602, 13634,19710123,  113,    0
   602, 13634,19710124,  129,    0
   602, 13634,19710125,  103,    0
   602, 13634,19710126,   98,    0
   602, 13634,19710127,   67,    0
   602, 13634,19710128,   72,    0
   602, 13634,19710129,   67,    0
   602, 13634,19710130,   51,    0
   602, 13634,19710131,   41,    0
   602, 13634,19710201,   98,    0
   602, 13634,19710202,   57,    0
   602, 13634,19710203,   77,    0
   602, 13634,19710204,   41,    0
   602, 13634,19710205,   36,    0
   602, 13634,19710206,   26,    0
   602, 13634,19710207,   51,    0
   602, 13634,19710208,   46,    0
   602, 13634,19710209,   21,    0
   602, 13634,19710210,   36,    0
   602, 13634,19710211,   36,    0
   602, 13634,19710212,  108,    0
   602, 13634,19710213,  118,    0
   602, 13634,19710214,   93,    0
   602, 13634,19710215,   93,    0
   602, 13634,19710216,   36,    0
   602, 13634,19710217,   41,    0
   602, 13634,19710218,   46,    0
   602, 13634,19710219,   10,    0
   602, 13634,19710220,   62,    0
   602, 13634,19710221,   77,    0
   602, 13634,19710222,   72,    0
   602, 13634,19710223,   41,    0
   602, 13634,19710224,   51,    0
   602, 13634,19710225,   62,    0
   602, 13634,19710226,   62,    0
   602, 13634,19710227,   26,    0
   602, 13634,19710228,   41,    0
   602, 13634,19710301,   31,    0
   602, 13634,19710302,   57,    0
   602, 13634,19710303,   62,    0
   602, 13634,19710304,   31,    0
   602, 13634,19710305,   26,    0
   602, 13634,19710306,   46,    0
   602, 13634,19710307,   26,    0
   602, 13634,19710308,   41,    0
   602, 13634,19710309,   46,    0
   602, 13634,19710310,   82,    0
   602, 13634,19710311,   57,    0
   602, 13634,19710312,   67,    0
   602, 13634,19710313,   57,    0
   602, 13634,19710314,   46,    0
   602, 13634,19710315,   93,    0
   602, 13634,19710316,   67,    0
   602, 13634,19710317,   77,    0
   602, 13634,19710318,   77,    0
   602, 13634,19710319,   72,    0
   602, 13634,19710320,   41,    0
   602, 13634,19710321,   72,    0
   602, 13634,19710322,  123,    0
   602, 13634,19710323,   62,    0
   602, 13634,19710324,   98,    0
   602, 13634,19710325,   93,    0
   602, 13634,19710326,   51,    0
   602, 13634,19710327,   51,    0
   602, 13634,19710328,   26,    0
   602, 13634,19710329,   31,    0
   602, 13634,19710330,   46,    0
   602, 13634,19710331,   36,    0
   602, 13634,19710401,   26,    0
   602, 13634,19710402,   51,    0
   602, 13634,19710403,   72,    0
   602, 13634,19710404,   41,    0
   602, 13634,19710405,   31,    0
   602, 13634,19710406,   21,    0
   602, 13634,19710407,   36,    0
   602, 13634,19710408,   62,    0
   602, 13634,19710409,   72,    0
   602, 13634,19710410,   82,    0
   602, 13634,19710411,   57,    0
   602, 13634,19710412,   57,    0
   602, 13634,19710413,   57,    0
   602, 13634,19710414,   41,    0
   602, 13634,19710415,   31,    0
   602, 13634,19710416,   93,    0
   602, 13634,19710417,   72,    0
   602, 13634,19710418,   82,    0
   602, 13634,19710419,   46,    0
   602, 13634,19710420,   31,    0
   602, 13634,19710421,   51,    0
   602, 13634,19710422,   41,    0
   602, 13634,19710423,   41,    0
   602, 13634,19710424,   67,    0
   602, 13634,19710425,   67,    0
   602, 13634,19710426,   41,    0
   602, 13634,19710427,   51,    0
   602, 13634,19710428,   51,    0
   602, 13634,19710429,   62,    0
   602, 13634,19710430,   46,    0
   602, 13634,19710501,   67,    0
   602, 13634,19710502,   62,    0
   602, 13634,19710503,   46,    0
   602, 13634,19710504,   36,    0
   602, 13634,19710505,   31,    0
   602, 13634,19710506,   36,    0
   602, 13634,19710507,   46,    0
   602, 13634,19710508,   26,    0
   602, 13634,19710509,   36,    0
   602, 13634,19710510,   36,    0
   602, 13634,19710511,   31,    0
   602, 13634,19710512,   46,    0
   602, 13634,19710513,   62,    0
   602, 13634,19710514,   51,    0
   602, 13634,19710515,   31,    0
   602, 13634,19710516,   31,    0
   602, 13634,19710517,   36,    0
   602, 13634,19710518,   36,    0
   602, 13634,19710519,   62,    0
   602, 13634,19710520,   72,    0
   602, 13634,19710521,   62,    0
   602, 13634,19710522,   31,    0
   602, 13634,19710523,   26,    0
   602, 13634,19710524,   26,    0
