EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 14-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOEK VAN HOLLAND, NETHERLANDS (STAID: 602)
Blended and updated with sources:2449 906330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   PP, Q_PP
   602,  2449,19710101,-9999,    9
   602,  2449,19710102,10150,    0
   602,  2449,19710103,10165,    0
   602,  2449,19710104,10215,    0
   602,  2449,19710105,10205,    0
   602,  2449,19710106,10238,    0
   602,  2449,19710107,10226,    0
   602,  2449,19710108,10227,    0
   602,  2449,19710109,10260,    0
   602,  2449,19710110,10276,    0
   602,  2449,19710111,10165,    0
   602,  2449,19710112,10171,    0
   602,  2449,19710113,10224,    0
   602,  2449,19710114,10166,    0
   602,  2449,19710115,10144,    0
   602,  2449,19710116,10119,    0
   602,  2449,19710117,10092,    0
   602,  2449,19710118,10045,    0
   602,  2449,19710119, 9928,    0
   602,  2449,19710120, 9931,    0
   602,  2449,19710121, 9834,    0
   602,  2449,19710122, 9846,    0
   602,  2449,19710123, 9844,    0
   602,  2449,19710124, 9921,    0
   602,  2449,19710125, 9918,    0
   602,  2449,19710126, 9889,    0
   602,  2449,19710127, 9920,    0
   602,  2449,19710128,10050,    0
   602,  2449,19710129,10111,    0
   602,  2449,19710130,10033,    0
   602,  2449,19710131,10015,    0
   602,  2449,19710201,10218,    0
   602,  2449,19710202,10343,    0
   602,  2449,19710203,10278,    0
   602,  2449,19710204,10364,    0
   602,  2449,19710205,10397,    0
   602,  2449,19710206,10378,    0
   602,  2449,19710207,10322,    0
   602,  2449,19710208,10309,    0
   602,  2449,19710209,10276,    0
   602,  2449,19710210,10221,    0
   602,  2449,19710211,10228,    0
   602,  2449,19710212,10143,    0
   602,  2449,19710213,10037,    0
   602,  2449,19710214,10042,    0
   602,  2449,19710215, 9837,    0
   602,  2449,19710216, 9897,    0
   602,  2449,19710217, 9991,    0
   602,  2449,19710218, 9972,    0
   602,  2449,19710219,10114,    0
   602,  2449,19710220,10138,    0
   602,  2449,19710221,10122,    0
   602,  2449,19710222,10250,    0
   602,  2449,19710223,10305,    0
   602,  2449,19710224,10281,    0
   602,  2449,19710225,10253,    0
   602,  2449,19710226,10235,    0
   602,  2449,19710227,10250,    0
   602,  2449,19710228,10290,    0
   602,  2449,19710301,10297,    0
   602,  2449,19710302,10197,    0
   602,  2449,19710303,10262,    0
   602,  2449,19710304,10349,    0
   602,  2449,19710305,10295,    0
   602,  2449,19710306,10289,    0
   602,  2449,19710307,10307,    0
   602,  2449,19710308,10246,    0
   602,  2449,19710309,10188,    0
   602,  2449,19710310,10235,    0
   602,  2449,19710311,10274,    0
   602,  2449,19710312,10237,    0
   602,  2449,19710313,10166,    0
   602,  2449,19710314,10024,    0
   602,  2449,19710315, 9958,    0
   602,  2449,19710316,10009,    0
   602,  2449,19710317, 9993,    0
   602,  2449,19710318, 9884,    0
   602,  2449,19710319, 9890,    0
   602,  2449,19710320, 9966,    0
   602,  2449,19710321,10053,    0
   602,  2449,19710322,10102,    0
   602,  2449,19710323,10182,    0
   602,  2449,19710324,10146,    0
   602,  2449,19710325,10085,    0
   602,  2449,19710326,10110,    0
   602,  2449,19710327,10188,    0
