EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DEN HELDER, NETHERLANDS (STAID: 160)
Blended and updated with sources:13489 13571 15803 906235 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   160, 15803,19060101,   67,    0
   160, 15803,19060102,   62,    0
   160, 15803,19060103,   36,    0
   160, 15803,19060104,   41,    0
   160, 15803,19060105,   41,    0
   160, 15803,19060106,  108,    0
   160, 15803,19060107,   77,    0
   160, 15803,19060108,   31,    0
   160, 15803,19060109,   57,    0
   160, 15803,19060110,   82,    0
   160, 15803,19060111,   62,    0
   160, 15803,19060112,   82,    0
   160, 15803,19060113,   62,    0
   160, 15803,19060114,   87,    0
   160, 15803,19060115,   87,    0
   160, 15803,19060116,  113,    0
   160, 15803,19060117,   77,    0
   160, 15803,19060118,   82,    0
   160, 15803,19060119,   93,    0
   160, 15803,19060120,   72,    0
   160, 15803,19060121,   62,    0
   160, 15803,19060122,   36,    0
   160, 15803,19060123,   15,    0
   160, 15803,19060124,   67,    0
   160, 15803,19060125,   72,    0
   160, 15803,19060126,   46,    0
   160, 15803,19060127,   62,    0
   160, 15803,19060128,   82,    0
   160, 15803,19060129,   72,    0
   160, 15803,19060130,   72,    0
   160, 15803,19060131,   41,    0
   160, 15803,19060201,   57,    0
   160, 15803,19060202,  108,    0
   160, 15803,19060203,   93,    0
   160, 15803,19060204,   67,    0
   160, 15803,19060205,   57,    0
   160, 15803,19060206,   15,    0
   160, 15803,19060207,   31,    0
   160, 15803,19060208,  103,    0
   160, 15803,19060209,   62,    0
   160, 15803,19060210,  118,    0
   160, 15803,19060211,   98,    0
   160, 15803,19060212,   36,    0
   160, 15803,19060213,   15,    0
   160, 15803,19060214,   26,    0
   160, 15803,19060215,   36,    0
   160, 15803,19060216,   77,    0
   160, 15803,19060217,   57,    0
   160, 15803,19060218,   46,    0
   160, 15803,19060219,   31,    0
   160, 15803,19060220,   72,    0
   160, 15803,19060221,   67,    0
   160, 15803,19060222,   26,    0
   160, 15803,19060223,   10,    0
   160, 15803,19060224,   21,    0
   160, 15803,19060225,   62,    0
   160, 15803,19060226,   57,    0
   160, 15803,19060227,   21,    0
   160, 15803,19060228,   72,    0
   160, 15803,19060301,   67,    0
   160, 15803,19060302,   46,    0
   160, 15803,19060303,   57,    0
   160, 15803,19060304,   46,    0
   160, 15803,19060305,   72,    0
   160, 15803,19060306,   77,    0
   160, 15803,19060307,   82,    0
   160, 15803,19060308,   93,    0
   160, 15803,19060309,  139,    0
   160, 15803,19060310,   36,    0
   160, 15803,19060311,   93,    0
   160, 15803,19060312,  154,    0
   160, 15803,19060313,  103,    0
   160, 15803,19060314,   31,    0
   160, 15803,19060315,   98,    0
   160, 15803,19060316,   77,    0
   160, 15803,19060317,   87,    0
   160, 15803,19060318,   41,    0
   160, 15803,19060319,   62,    0
   160, 15803,19060320,   51,    0
   160, 15803,19060321,   67,    0
   160, 15803,19060322,   41,    0
   160, 15803,19060323,   67,    0
   160, 15803,19060324,   51,    0
   160, 15803,19060325,   51,    0
   160, 15803,19060326,   77,    0
   160, 15803,19060327,   57,    0
   160, 15803,19060328,   26,    0
   160, 15803,19060329,   67,    0
   160, 15803,19060330,   41,    0
