EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IJMUIDEN            , NETHERLANDS (STAID: 3176)
Blended and updated with sources:13488 906225 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
  3176, 13488,19710101,   62,    0
  3176, 13488,19710102,   62,    0
  3176, 13488,19710103,   46,    0
  3176, 13488,19710104,   46,    0
  3176, 13488,19710105,   57,    0
  3176, 13488,19710106,   62,    0
  3176, 13488,19710107,  113,    0
  3176, 13488,19710108,   87,    0
  3176, 13488,19710109,   72,    0
  3176, 13488,19710110,   46,    0
  3176, 13488,19710111,   77,    0
  3176, 13488,19710112,   57,    0
  3176, 13488,19710113,   46,    0
  3176, 13488,19710114,   51,    0
  3176, 13488,19710115,   51,    0
  3176, 13488,19710116,   82,    0
  3176, 13488,19710117,   62,    0
  3176, 13488,19710118,   77,    0
  3176, 13488,19710119,  129,    0
  3176, 13488,19710120,  108,    0
  3176, 13488,19710121,  108,    0
  3176, 13488,19710122,   72,    0
  3176, 13488,19710123,  144,    0
  3176, 13488,19710124,  159,    0
  3176, 13488,19710125,  134,    0
  3176, 13488,19710126,  118,    0
  3176, 13488,19710127,   77,    0
  3176, 13488,19710128,-9999,    9
  3176, 13488,19710129,   87,    0
  3176, 13488,19710130,   72,    0
  3176, 13488,19710131,   46,    0
  3176, 13488,19710201,  103,    0
  3176, 13488,19710202,   87,    0
  3176, 13488,19710203,   98,    0
  3176, 13488,19710204,   46,    0
  3176, 13488,19710205,   41,    0
  3176, 13488,19710206,   41,    0
  3176, 13488,19710207,   62,    0
  3176, 13488,19710208,   51,    0
  3176, 13488,19710209,   31,    0
  3176, 13488,19710210,   41,    0
  3176, 13488,19710211,   41,    0
  3176, 13488,19710212,  139,    0
  3176, 13488,19710213,  144,    0
  3176, 13488,19710214,  123,    0
  3176, 13488,19710215,  113,    0
  3176, 13488,19710216,   46,    0
  3176, 13488,19710217,   46,    0
  3176, 13488,19710218,   41,    0
  3176, 13488,19710219,   21,    0
  3176, 13488,19710220,   67,    0
  3176, 13488,19710221,   93,    0
  3176, 13488,19710222,   93,    0
  3176, 13488,19710223,   46,    0
  3176, 13488,19710224,   62,    0
  3176, 13488,19710225,   93,    0
  3176, 13488,19710226,   82,    0
  3176, 13488,19710227,   57,    0
  3176, 13488,19710228,   62,    0
  3176, 13488,19710301,   46,    0
  3176, 13488,19710302,   77,    0
  3176, 13488,19710303,  103,    0
  3176, 13488,19710304,   51,    0
  3176, 13488,19710305,   41,    0
  3176, 13488,19710306,   77,    0
  3176, 13488,19710307,   36,    0
  3176, 13488,19710308,   46,    0
  3176, 13488,19710309,   67,    0
  3176, 13488,19710310,  103,    0
  3176, 13488,19710311,   67,    0
  3176, 13488,19710312,   77,    0
  3176, 13488,19710313,   62,    0
  3176, 13488,19710314,   41,    0
  3176, 13488,19710315,  108,    0
  3176, 13488,19710316,   77,    0
  3176, 13488,19710317,   77,    0
  3176, 13488,19710318,   98,    0
  3176, 13488,19710319,   87,    0
  3176, 13488,19710320,   51,    0
  3176, 13488,19710321,   77,    0
  3176, 13488,19710322,  129,    0
  3176, 13488,19710323,   72,    0
  3176, 13488,19710324,  103,    0
  3176, 13488,19710325,  103,    0
  3176, 13488,19710326,   57,    0
  3176, 13488,19710327,   67,    0
  3176, 13488,19710328,   26,    0
  3176, 13488,19710329,   51,    0
  3176, 13488,19710330,   77,    0
  3176, 13488,19710331,   57,    0
  3176, 13488,19710401,   31,    0
  3176, 13488,19710402,   82,    0
  3176, 13488,19710403,   87,    0
  3176, 13488,19710404,   57,    0
  3176, 13488,19710405,   31,    0
  3176, 13488,19710406,   26,    0
  3176, 13488,19710407,   36,    0
  3176, 13488,19710408,   87,    0
  3176, 13488,19710409,   93,    0
  3176, 13488,19710410,   93,    0
  3176, 13488,19710411,   72,    0
  3176, 13488,19710412,   57,    0
  3176, 13488,19710413,   72,    0
  3176, 13488,19710414,   51,    0
  3176, 13488,19710415,   46,    0
  3176, 13488,19710416,   98,    0
  3176, 13488,19710417,   98,    0
  3176, 13488,19710418,  103,    0
  3176, 13488,19710419,   57,    0
  3176, 13488,19710420,   36,    0
  3176, 13488,19710421,   82,    0
  3176, 13488,19710422,   72,    0
  3176, 13488,19710423,   72,    0
  3176, 13488,19710424,   51,    0
  3176, 13488,19710425,   93,    0
  3176, 13488,19710426,   67,    0
  3176, 13488,19710427,   51,    0
  3176, 13488,19710428,   62,    0
  3176, 13488,19710429,   82,    0
  3176, 13488,19710430,   62,    0
  3176, 13488,19710501,  108,    0
  3176, 13488,19710502,   77,    0
  3176, 13488,19710503,   67,    0
  3176, 13488,19710504,   57,    0
  3176, 13488,19710505,   57,    0
  3176, 13488,19710506,   62,    0
  3176, 13488,19710507,   82,    0
  3176, 13488,19710508,   31,    0
  3176, 13488,19710509,   41,    0
  3176, 13488,19710510,   46,    0
  3176, 13488,19710511,   51,    0
  3176, 13488,19710512,   51,    0
  3176, 13488,19710513,   98,    0
  3176, 13488,19710514,   67,    0
  3176, 13488,19710515,   46,    0
  3176, 13488,19710516,   41,    0
  3176, 13488,19710517,   31,    0
  3176, 13488,19710518,   41,    0
  3176, 13488,19710519,   62,    0
  3176, 13488,19710520,   77,    0
  3176, 13488,19710521,   77,    0
  3176, 13488,19710522,   67,    0
  3176, 13488,19710523,   62,    0
  3176, 13488,19710524,   87,    0
  3176, 13488,19710525,   67,    0
  3176, 13488,19710526,   36,    0
  3176, 13488,19710527,   36,    0
  3176, 13488,19710528,   31,    0
  3176, 13488,19710529,   46,    0
  3176, 13488,19710530,   62,    0
  3176, 13488,19710531,   41,    0
  3176, 13488,19710601,   57,    0
  3176, 13488,19710602,   77,    0
  3176, 13488,19710603,   93,    0
  3176, 13488,19710604,   87,    0
  3176, 13488,19710605,   93,    0
  3176, 13488,19710606,   51,    0
  3176, 13488,19710607,   57,    0
  3176, 13488,19710608,   51,    0
  3176, 13488,19710609,   51,    0
  3176, 13488,19710610,   82,    0
  3176, 13488,19710611,   46,    0
  3176, 13488,19710612,   41,    0
  3176, 13488,19710613,   36,    0
  3176, 13488,19710614,   87,    0
  3176, 13488,19710615,  108,    0
  3176, 13488,19710616,   98,    0
